label_id,dossier,pyc,pnx_file,lan_nhan_xet,item_no,trang,muc,noi_dung_nhan_xet,phan_hoi_don_vi,rule_ref_goi_y,do_tin_cay,can_cu_goi_y,ghi_chu_goi_y,da_kiem,goi_y_dung,rule_ref,checklist_ref,vong,ngoai_pham_vi,ghi_chu
PNX_giam sat cuoc goi CSKH_bosung2022v4|R2-05-01,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v4.docx,2,5,,,"Tính thông lượng FW, LB",N/A,FWL-04; FWL-02; LBA-01; LBA-02,cao,Thông lượng FW / LB,,x,Thừa,FWL-04; FWL-02; LBA-01,CL-3.x.9; CL-3.x.10; CL-3.x.11; CL-3.x.12,2,,LBA-02 (chọn bandwidth port) chưa được nhắc tới ở nhận xét này.
PNX_PBH 4.0v2|R1-08-02,cap moi PBH 4.0 20043,PYC-20043,PNX_PBH 4.0v2.docx,1,8,,,Xem lại “Đề xuất Mạng: tối thiểu 10Gbps trên mỗi node”,Đã bổ xung thêm mục tính toán,LAN-02; LAN-03; FWL-02; LBA-02; EVD-10,cao,Băng thông / tốc độ truyền,,x,Thừa,LAN-02; LAN-03,,2,,"Là băng thông mạng nội bộ mỗi node, không phải FW/LB. Bỏ FWL-02, LBA-02, EVD-10."
PNX_Data Security VTTv2|R2-07-01,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,7,,,Bổ sung sở cứ sử dụng SSD,,STO-14; STO-15; STO-03; KPI-07; PRC-01; EVD-03,cao,SSD / loại ổ,,x,Thừa,STO-14; PRC-01,CL-3.x.18; CL-2.5,2,,"Hỏi CĂN CỨ chọn SSD. STO-15/KPI-07 là ngưỡng dùng SSD, chưa phải việc ở đây."
PNX_CAMPAIGN_MANAGEMENT_v3|R2-02-05,cap bo sung campaign 2.0 8964,PYC-8964,PNX_CAMPAIGN_MANAGEMENT_v3.docx,2,2,,IV.1.1,Bổ sung lại sở cứ sử dụng SSD,"- Đã sửa lại thông tin tên CPU - Đã bổ sung sở cứ dung lượng log + file cài đặt -1 server cần 68.42cint 2017 => 10 server cần 684.2 - Đã bổ sung đề xuất số server cụm Hadoop IDC là 11 (N+1) - Sử dung SSD để đáp ứng xử lý Campaign Online, hiện tại đang sử dụng SSD",STO-14; STO-15; STO-03; KPI-07; PRC-01; EVD-03,cao,SSD / loại ổ,,x,Thừa,STO-14; PRC-01,CL-3.x.18; CL-2.5,2,,Như dòng 3.
PNX_Sizing_APIGW-Meta_2024v4|R2-01-02,cap moi APIGW-Meta_2024 18927,PYC-18927,PNX_Sizing_APIGW-Meta_2024v4.docx,2,1,8,,Trang 8: Giải thích cho lưu lượng 0.042Gbps,,LAN-02; LAN-03; FWL-02; LBA-02,cao,Băng thông / tốc độ truyền,,x,Thiếu,PRC-01; LAN-02,CL-2.5,2,,Cốt lõi là đòi SỞ CỨ cho con số 0.042Gbps — máy bỏ sót PRC-01.
PNX_hethongVtag_v4|R1-02-01,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,1,2,,,- Xem lại giá trị Cint đưa ra không đồng nhất trong toàn văn bản (226; 12.6; 25.1;…)  rất khó để thẩm định.,Đã bổ sung giải thích công thức tính.,CPU-01; CPU-02; CPU-10; EVD-10,cao,Cint / SPEC CPU,,x,Thừa,EVD-10; CPU-01,CL-2.9; CL-3.x.20; CL-3.x.13,2,,Giá trị Cint mâu thuẫn giữa các phần của tài liệu.
PNX_Data Security VTTv2|R2-02-02,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,2,,,Link tham chiếu cpu đang không đúng,,CPU-05; CPU-06; CPU-09,cao,CPU sử dụng,,x,S,CPU-01; PRC-01,CL-3.x.13; CL-2.5,2,,"Link tham chiếu SPEC sai là lỗi SỞ CỨ, không phải công thức CPU sử dụng. Máy gán CPU-05/06/09 là sai."
PNX_PBH 4.0v2|R2-04-02,cap moi PBH 4.0 20043,PYC-20043,PNX_PBH 4.0v2.docx,2,4,,,bổ sung sở cứ sử dụng SSD,,STO-14; STO-15; STO-03; KPI-07; PRC-01; EVD-03,cao,SSD / loại ổ,,x,Thừa,STO-14; PRC-01,CL-3.x.18; CL-2.5,2,,Như dòng 3.
PNX_MNP|R1-06-01,cap moi MNP 32034,PYC-32034,PNX_MNP.docx,1,6,,,Cint quy đổi về 2017 để tính toán,,CPU-01; CPU-02; CPU-10,cao,Cint / SPEC CPU,,x,Thừa,CPU-02,CL-3.x.13,2,,Đúng một việc: quy đổi SPEC CPU2006 sang CPU2017.
PNX_Data Security VTTv2|R2-03-03,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,3,,,ảnh show dữ liệu “1070 byte” cần có thêm thông tin ip của hệ thống tham chiếu,,MTH-01; MTH-03; MTH-04; EVD-04,cao,Cơ sở định cỡ / hệ tham chiếu + KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thừa,EVD-04,CL-2.5,2,,"Đòi ảnh sở cứ nêu đủ thông tin hệ THAM CHIẾU. MTH-01/03/04 là phương pháp định cỡ, không phải việc ở đây. Chạm khoảng trống ""chất lượng ảnh sở cứ""."
